_id,sample_date,region,lineage,expected_snp_distance,expected_patristic_distance
ER500_0446,2023-07-13,Central,Lineage 5,104,0.01211685
ER500_0447,2023-07-20,South,Lineage 5,102,0.01239710
ER500_0448,2023-07-27,West,Lineage 5,99,0.01240477
ER500_0449,2023-08-03,North,Lineage 5,105,0.01216251
ER500_0450,2023-08-10,Central,Lineage 5,102,0.01234257
ER500_0451,2023-08-17,South,Lineage 5,105,0.01246129
ER500_0452,2023-08-24,West,Lineage 5,106,0.01245228
ER500_0453,2023-08-31,North,Lineage 5,101,0.01225455
ER500_0454,2023-09-07,Central,Lineage 5,105,0.01239880
ER500_0455,2023-09-14,South,Lineage 5,106,0.01251383
ER500_0456,2023-09-21,West,Lineage 5,105,0.01242662
ER500_0457,2023-09-28,North,Lineage 5,107,0.01256087
ER500_0458,2023-10-05,Central,Lineage 5,102,0.01246952
ER500_0459,2023-10-12,South,Lineage 5,103,0.01243588
ER500_0460,2023-10-19,West,Lineage 5,107,0.01246287
ER500_0461,2023-10-26,North,Lineage 5,109,0.01271135
ER500_0462,2023-11-02,Central,Lineage 5,108,0.01266328
ER500_0463,2023-11-09,South,Lineage 5,105,0.01254369
ER500_0464,2023-11-16,West,Lineage 5,106,0.01255530
ER500_0465,2023-11-23,North,Lineage 5,106,0.01252985
ER500_0466,2023-11-30,Central,Lineage 5,104,0.01269973
ER500_0467,2023-12-07,South,Lineage 5,108,0.01281106
ER500_0468,2023-12-14,West,Lineage 5,109,0.01285338
ER500_0469,2023-12-21,North,Lineage 5,109,0.01284102
ER500_0470,2023-12-28,Central,Lineage 5,110,0.01266490
ER500_0471,2024-01-04,South,Lineage 5,111,0.01271050
ER500_0472,2024-01-11,West,Lineage 5,105,0.01292626
ER500_0473,2024-01-18,North,Lineage 5,110,0.01299575
ER500_0474,2024-01-25,Central,Lineage 5,106,0.01273500
ER500_0475,2024-02-01,South,Lineage 5,111,0.01287305
ER500_0476,2024-02-08,West,Lineage 5,106,0.01299628
ER500_0477,2024-02-15,North,Lineage 5,112,0.01291585
ER500_0478,2024-02-22,Central,Lineage 5,112,0.01306981
ER500_0479,2024-02-29,South,Lineage 5,108,0.01286761
ER500_0480,2024-03-07,West,Lineage 5,114,0.01294140
ER500_0481,2024-03-14,North,Lineage 5,110,0.01305698
ER500_0482,2024-03-21,Central,Lineage 5,110,0.01297367
ER500_0483,2024-03-28,South,Lineage 5,108,0.01319772
ER500_0484,2024-04-04,West,Lineage 5,111,0.01296562
ER500_0485,2024-04-11,North,Lineage 5,113,0.01319037
ER500_0486,2024-04-18,Central,Lineage 5,108,0.01322583
ER500_0487,2024-04-25,South,Lineage 5,112,0.01311804
ER500_0488,2024-05-02,West,Lineage 5,115,0.01323884
ER500_0489,2024-05-09,North,Lineage 5,108,0.01330343
ER500_0490,2024-05-16,Central,Lineage 5,110,0.01317955
ER500_0491,2024-05-23,South,Lineage 5,109,0.01326925
ER500_0492,2024-05-30,West,Lineage 5,115,0.01340524
ER500_0493,2024-06-06,North,Lineage 5,110,0.01331919
ER500_0494,2024-06-13,Central,Lineage 5,117,0.01342987
ER500_0495,2024-06-20,South,Lineage 5,116,0.01323182
ER500_0496,2024-06-27,West,Lineage 5,115,0.01346045
ER500_0497,2024-07-04,North,Lineage 5,114,0.01343430
ER500_0498,2024-07-11,Central,Lineage 5,117,0.01355009
ER500_0499,2024-07-18,South,Lineage 5,114,0.01359843
ER500_0500,2024-07-25,West,Lineage 5,115,0.01359742
